ID;Income_110805;sex;UBICACION;Edad;Area;Fecha Ingreso
2370;1;M;LIMA;37;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/12
2383;0;H;LIMA;37;BANCA EMPRESAS E INSTITUCIONES;1/07/12
2386;0;H;LIMA;44;OTROS;1/08/11
2394;1;M;PROVINCIA;48;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/12
2404;1;M;LIMA;48;ENGINEERING;1/10/12
2405;0;M;LIMA;46;OTROS;1/04/12
2410;0;H;PROVINCIA;34;OTROS;1/05/12
2411;0;H;LIMA;32;RIESGOS;1/08/12
2414;1;H;LIMA;37;ENGINEERING;1/08/12
2423;1;H;LIMA;39;CORPORATE & INVESTMENT BANKING;1/04/11
2464;1;H;LIMA;32;ENGINEERING;1/05/12
2467;1;M;LIMA;32;ENGINEERING;1/11/12
2476;1;H;PROVINCIA;31;ENGINEERING;1/05/13
2489;0;H;LIMA;29;TALENTO & CULTURA;1/11/12
2503;1;M;LIMA;29;BANCA EMPRESAS E INSTITUCIONES;6/12/10
2560;1;M;LIMA;32;BUSINESS DEVELOPMENT & DIGITAL BANKIN;31/07/11
2589;1;H;LIMA;33;ENGINEERING;1/02/13
2593;0;H;LIMA;38;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/12/12
2610;1;H;LIMA;29;CORPORATE & INVESTMENT BANKING;1/02/13
2611;1;H;LIMA;37;CORPORATE & INVESTMENT BANKING;1/02/13
2626;1;H;LIMA;44;ENGINEERING;1/01/13
2627;1;M;LIMA;32;ENGINEERING;1/02/13
2629;0;M;LIMA;34;OTROS;1/10/12
2638;0;H;PROVINCIA;33;OTROS;1/04/13
2646;0;M;PROVINCIA;39;OTROS;1/04/13
2647;1;H;LIMA;37;CORPORATE & INVESTMENT BANKING;1/04/13
2672;1;H;LIMA;29;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/12/12
2674;0;M;PROVINCIA;44;TALENTO & CULTURA;1/01/13
2686;1;H;LIMA;37;CORPORATE & INVESTMENT BANKING;1/01/13
2772;0;M;PROVINCIA;38;TALENTO & CULTURA;15/12/13
2788;1;H;PROVINCIA;35;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/13
2816;0;M;LIMA;42;ENGINEERING;1/12/13
2832;1;H;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/13
2856;1;M;LIMA;36;CORPORATE & INVESTMENT BANKING;1/10/13
2857;1;H;LIMA;38;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/13
2862;0;M;LIMA;36;BANCA EMPRESAS E INSTITUCIONES;1/01/14
2865;1;M;LIMA;29;ENGINEERING;1/01/14
2873;1;M;LIMA;40;CORPORATE & INVESTMENT BANKING;1/02/14
2874;1;H;LIMA;28;ENGINEERING;15/03/12
2875;0;H;LIMA;28;OTROS;1/03/13
2876;1;H;PROVINCIA;51;ENGINEERING;1/03/13
